File Name, True Positive, False Positive, False Negative 
colorIMG_23.png, 8, 8, 8, 
colorIMG_102.png, 1, 4, 15, 
colorIMG_46.png, 4, 5, 12, 
colorIMG_141.png, 9, 3, 7, 
colorIMG_188.png, 11, 1, 5, 
colorIMG_4.png, 5, 4, 11, 
colorIMG_199.png, 14, 2, 2, 
colorIMG_123.png, 13, 3, 3, 
colorIMG_108.png, 2, 2, 14, 
colorIMG_2.png, 3, 2, 13, 
colorIMG_30.png, 13, 3, 3, 
colorIMG_96.png, 0, 1, 16, 
colorIMG_95.png, 0, 5, 16, 
colorIMG_85.png, 2, 4, 14, 
colorIMG_11.png, 14, 2, 2, 
colorIMG_81.png, 1, 4, 15, 
colorIMG_28.png, 9, 6, 7, 
colorIMG_152.png, 6, 1, 10, 
colorIMG_20.png, 5, 11, 11, 
colorIMG_59.png, 0, 3, 16, 
colorIMG_87.png, 4, 6, 12, 
colorIMG_118.png, 2, 1, 14, 
colorIMG_91.png, 0, 0, 16, 
colorIMG_53.png, 2, 7, 14, 
colorIMG_56.png, 4, 3, 12, 
colorIMG_9.png, 3, 1, 13, 
colorIMG_62.png, 5, 6, 11, 
colorIMG_80.png, 0, 4, 16, 
colorIMG_69.png, 2, 1, 14, 
colorIMG_45.png, 10, 6, 6, 
colorIMG_71.png, 0, 6, 16, 
colorIMG_104.png, 1, 4, 15, 
colorIMG_159.png, 3, 2, 13, 
colorIMG_173.png, 9, 6, 7, 
colorIMG_154.png, 14, 0, 2, 
colorIMG_122.png, 3, 4, 13, 
colorIMG_147.png, 7, 4, 9, 
colorIMG_38.png, 13, 3, 3, 
colorIMG_90.png, 0, 4, 16, 
colorIMG_74.png, 0, 6, 16, 
