File Name, True Positive, False Positive, False Negative 
colorIMG_23.png, 0, 16, 16, 
colorIMG_102.png, 0, 5, 16, 
colorIMG_46.png, 1, 8, 15, 
colorIMG_141.png, 3, 9, 13, 
colorIMG_188.png, 1, 11, 15, 
colorIMG_4.png, 0, 9, 16, 
colorIMG_199.png, 1, 15, 15, 
colorIMG_123.png, 0, 16, 16, 
colorIMG_108.png, 0, 4, 16, 
colorIMG_2.png, 0, 5, 16, 
colorIMG_30.png, 0, 16, 16, 
colorIMG_96.png, 0, 1, 16, 
colorIMG_95.png, 0, 5, 16, 
colorIMG_85.png, 0, 6, 16, 
colorIMG_11.png, 2, 14, 14, 
colorIMG_81.png, 0, 5, 16, 
colorIMG_28.png, 1, 14, 15, 
colorIMG_152.png, 1, 6, 15, 
colorIMG_20.png, 0, 16, 16, 
colorIMG_59.png, 0, 3, 16, 
colorIMG_87.png, 0, 10, 16, 
colorIMG_118.png, 0, 3, 16, 
colorIMG_91.png, 0, 0, 16, 
colorIMG_53.png, 0, 9, 16, 
colorIMG_56.png, 0, 7, 16, 
colorIMG_9.png, 0, 4, 16, 
colorIMG_62.png, 0, 11, 16, 
colorIMG_80.png, 0, 4, 16, 
colorIMG_69.png, 0, 3, 16, 
colorIMG_45.png, 0, 16, 16, 
colorIMG_71.png, 0, 6, 16, 
colorIMG_104.png, 0, 5, 16, 
colorIMG_159.png, 1, 4, 15, 
colorIMG_173.png, 1, 14, 15, 
colorIMG_154.png, 1, 13, 15, 
colorIMG_122.png, 1, 6, 15, 
colorIMG_147.png, 0, 11, 16, 
colorIMG_38.png, 0, 16, 16, 
colorIMG_90.png, 0, 4, 16, 
colorIMG_74.png, 0, 6, 16, 
