File Name, True Positive, False Positive, False Negative 
colorIMG_23.png, 9, 7, 7, 
colorIMG_102.png, 2, 3, 14, 
colorIMG_46.png, 5, 4, 11, 
colorIMG_141.png, 9, 3, 7, 
colorIMG_188.png, 12, 0, 4, 
colorIMG_4.png, 8, 1, 8, 
colorIMG_199.png, 16, 0, 0, 
colorIMG_123.png, 14, 2, 2, 
colorIMG_108.png, 2, 2, 14, 
colorIMG_2.png, 4, 1, 12, 
colorIMG_30.png, 14, 2, 2, 
colorIMG_96.png, 0, 1, 16, 
colorIMG_95.png, 1, 4, 15, 
colorIMG_85.png, 2, 4, 14, 
colorIMG_11.png, 15, 1, 1, 
colorIMG_81.png, 4, 1, 12, 
colorIMG_28.png, 13, 2, 3, 
colorIMG_152.png, 6, 1, 10, 
colorIMG_20.png, 10, 6, 6, 
colorIMG_59.png, 1, 2, 15, 
colorIMG_87.png, 7, 3, 9, 
colorIMG_118.png, 2, 1, 14, 
colorIMG_91.png, 0, 0, 16, 
colorIMG_53.png, 4, 5, 12, 
colorIMG_56.png, 6, 1, 10, 
colorIMG_9.png, 4, 0, 12, 
colorIMG_62.png, 6, 5, 10, 
colorIMG_80.png, 1, 3, 15, 
colorIMG_69.png, 2, 1, 14, 
colorIMG_45.png, 11, 5, 5, 
colorIMG_71.png, 0, 6, 16, 
colorIMG_104.png, 2, 3, 14, 
colorIMG_159.png, 3, 2, 13, 
colorIMG_173.png, 12, 3, 4, 
colorIMG_154.png, 14, 0, 2, 
colorIMG_122.png, 5, 2, 11, 
colorIMG_147.png, 8, 3, 8, 
colorIMG_38.png, 15, 1, 1, 
colorIMG_90.png, 1, 3, 15, 
colorIMG_74.png, 0, 6, 16, 
