../../03 Data/Simple Dataset/colorIMG_8.png,330,325,434,354
../../03 Data/Simple Dataset/colorIMG_8.png,329,297,432,327
../../03 Data/Simple Dataset/colorIMG_8.png,330,272,433,300
../../03 Data/Simple Dataset/colorIMG_8.png,326,248,431,277
../../03 Data/Simple Dataset/colorIMG_8.png,328,222,433,251
../../03 Data/Simple Dataset/colorIMG_8.png,326,196,429,227
../../03 Data/Simple Dataset/colorIMG_8.png,323,171,426,203
../../03 Data/Simple Dataset/colorIMG_8.png,322,148,425,176
../../03 Data/Simple Dataset/colorIMG_8.png,432,327,535,354
../../03 Data/Simple Dataset/colorIMG_8.png,431,302,534,328
../../03 Data/Simple Dataset/colorIMG_8.png,431,275,536,305
../../03 Data/Simple Dataset/colorIMG_8.png,429,251,535,278
../../03 Data/Simple Dataset/colorIMG_8.png,429,228,530,254
../../03 Data/Simple Dataset/colorIMG_8.png,428,201,532,230
../../03 Data/Simple Dataset/colorIMG_8.png,424,177,527,204
../../03 Data/Simple Dataset/colorIMG_8.png,424,153,527,180
../../03 Data/Simple Dataset/colorIMG_196.png,335,347,439,401
../../03 Data/Simple Dataset/colorIMG_196.png,326,323,430,378
../../03 Data/Simple Dataset/colorIMG_196.png,318,299,422,354
../../03 Data/Simple Dataset/colorIMG_196.png,311,275,416,329
../../03 Data/Simple Dataset/colorIMG_196.png,304,253,407,306
../../03 Data/Simple Dataset/colorIMG_196.png,295,232,398,283
../../03 Data/Simple Dataset/colorIMG_196.png,289,205,391,259
../../03 Data/Simple Dataset/colorIMG_196.png,283,178,385,232
../../03 Data/Simple Dataset/colorIMG_196.png,432,320,536,371
../../03 Data/Simple Dataset/colorIMG_196.png,425,295,528,347
../../03 Data/Simple Dataset/colorIMG_196.png,416,273,518,322
../../03 Data/Simple Dataset/colorIMG_196.png,408,248,510,298
../../03 Data/Simple Dataset/colorIMG_196.png,399,223,503,275
../../03 Data/Simple Dataset/colorIMG_196.png,392,200,495,252
../../03 Data/Simple Dataset/colorIMG_196.png,385,177,487,227
../../03 Data/Simple Dataset/colorIMG_196.png,380,154,482,202
../../03 Data/Simple Dataset/colorIMG_114.png,420,325,522,355
../../03 Data/Simple Dataset/colorIMG_114.png,318,319,419,355
../../03 Data/Simple Dataset/colorIMG_114.png,318,292,420,328
../../03 Data/Simple Dataset/colorIMG_114.png,418,299,523,328
../../03 Data/Simple Dataset/colorIMG_114.png,422,275,524,304
../../03 Data/Simple Dataset/colorIMG_114.png,320,268,423,303
../../03 Data/Simple Dataset/colorIMG_114.png,425,251,531,277
../../03 Data/Simple Dataset/colorIMG_114.png,323,242,427,278
../../03 Data/Simple Dataset/colorIMG_114.png,428,227,531,252
../../03 Data/Simple Dataset/colorIMG_114.png,325,217,429,253
../../03 Data/Simple Dataset/colorIMG_114.png,430,202,533,229
../../03 Data/Simple Dataset/colorIMG_114.png,328,193,431,228
../../03 Data/Simple Dataset/colorIMG_114.png,429,175,531,202
