../../03 Data/Simple Dataset/colorIMG_50.png,334,150,440,183,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,342,175,444,207,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,335,198,437,234,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,334,225,439,262,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,330,253,432,284,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,329,278,433,307,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,331,305,434,335,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,339,336,441,365,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,435,160,539,191,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,439,183,546,216,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,434,211,539,243,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,437,235,540,268,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,430,259,533,292,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,430,286,533,314,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,434,311,538,341,Brick
../../03 Data/Simple Dataset/colorIMG_50.png,442,338,543,370,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,320,330,424,363,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,328,306,435,339,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,332,282,437,314,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,328,257,432,288,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,327,231,433,262,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,336,200,437,232,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,342,175,442,208,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,335,149,439,183,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,442,158,548,195,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,439,182,547,217,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,434,214,537,245,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,430,236,534,270,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,427,265,534,298,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,435,293,537,324,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,433,320,536,349,Brick
../../03 Data/Simple Dataset/colorIMG_55.png,427,343,531,380,Brick
../../03 Data/Simple Dataset/colorIMG_36.png,310,316,411,355,Brick
